Rk,Player,Tm,FantPos,Age,G,GS,Tgt,Rec,Yds,Y/R,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
157,Justin Hunter\HuntJu00,PIT,WR,26,7,1,10,4,23,5.75,0,0,1,,,8,12.3,12.3,10.3,,157,
158,Breshad Perriman\PerrBr02,BAL,WR,24,11,3,35,10,77,7.7,0,0,0,,,8,17.7,17.7,12.7,,160,
159,Brian Quick\QuicBr00,WAS,WR,28,11,1,8,6,76,12.67,0,0,0,,,8,13.6,13.6,10.6,,161,
160,Chris Thompson\ThomCh05,HOU,WR,23,13,0,6,5,84,16.8,3,0,0,,,8,13.4,13.4,10.9,,156,
161,Kasen Williams\WillKa02,CLE,WR,25,7,2,18,9,84,9.33,0,0,0,,,8,17.4,17.4,12.9,,155,
162,Leonte Carroo\CarrLe00,MIA,WR,23,14,0,12,7,69,9.86,0,0,0,,,7,13.9,13.9,10.4,,167,
163,Sammie Coates\CoatSa00,CLE,WR,24,12,1,11,6,70,11.67,0,0,0,,,7,13,13,10,,165,
164,Amara Darboh\DarbAm00,SEA,WR,23,16,0,13,8,71,8.88,0,0,0,,,7,15.1,15.1,11.1,,164,
165,Brittan Golden\GoldBr00,ARI,WR,29,13,0,9,5,70,14,0,0,0,,,7,12,12,9.5,,166,
166,Tanner McEvoy\McEvTa01,SEA,WR,24,15,0,9,5,113,22.6,1,1,0,,,7,12.3,17.3,10.8,,162,
167,Willie Snead\SneaWi00,NOR,WR,25,11,7,16,8,92,11.5,1,1,0,,,7,15.2,16.2,11.2,,163,
168,Bryce Treggs\TregBr00,CLE,WR,23,6,1,18,5,79,15.8,1,1,0,,,7,11.5,12.5,9,,168,
169,Chad Williams\WillCh05,ARI,WR,23,6,1,7,3,31,10.33,0,0,0,,,6,9.4,9.4,7.9,,169,
170,Markus Wheaton\WheaMa00,CHI,WR,26,11,0,17,3,51,17,0,0,0,,,5,8.1,8.1,6.6,,170,
171,Jared Abbrederis\AbbrJa00,DET,WR,27,7,0,7,3,44,14.67,0,0,0,,,4,7.4,7.4,5.9,,171,
172,Quan Bray\BrayQu00,IND,WR,24,9,0,4,3,39,13,1,0,0,,,4,6.9,6.9,5.4,,173,
173,Michael Clark\ClarMi00,GNB,WR,22,2,0,14,4,41,10.25,0,0,0,,,4,8.1,8.1,6.1,,172,
174,Tanner Gentry\GentTa00,CHI,WR,23,4,3,6,3,35,11.67,0,0,0,,,4,6.5,6.5,5,,175,
